likeours	new_groups	Month	lat	lon	Temp Feb	Sal Feb	pH	Turbidity	Chl-Post Cal	ODO%	ODO	NOx	PO4	NH4	TDP	TDN	TP	TN	Si	TSS Final
SPJ1	Eastern-central Harbour	September	-33.83856944	151.1939217	18.3	34.9	7.98	1.5	1.851853211	99.8	8.95	36	15	24	23	182	31	220	158	1.8
SPJ2	Eastern-central Harbour	September	-33.84465097	151.2078524	17.92	35.1	7.97	1.1	1.269147982	100.3	9.04	29	12	5	21	140	21	131	73	1.2
SPJ3	Eastern-central Harbour	September	-33.87306276	151.189418	17.97	34.76	7.97	1.7	3.399719457	103.3	8.19	16	12	4	20	132	30	165	82	2.3
SPJ4	Eastern-central Harbour	September	-33.8732817	151.231871	18.41	34.79	7.62	1	1.101375	94.3	8.26	59	17	41	26	222	31	219	129	1.3
SPJ5	Eastern-central Harbour	September	-33.84118559	151.2159732	18.12	35.07	7.89	1.4	1.091628319	96.8	8.64	26	12	9	21	144	25	136	84	1.3
SPJ6	Marine/Harbour Heads	September	-33.79908216	151.268949	18.29	35.53	8.06	1.1	1.572056075	101.5	9.5	26	8	7	15	135	21	140	41	1.0
SPJ7	Marine/Harbour Heads	September	-33.82678452	151.2844457	17.88	35.52	7.94	0.3	1.615592727	99.8	7.73	23	9	8	22	186	18	171	41	0.3
SPJ8	Eastern-central Harbour	September	-33.86813745	151.19977296	17.81	34.84	7.96	0.9	1.761964758	98.7	8.95	14	12	10	20	127	22	135	104	0.7
SLPR01	Parramata River	September	-33.81351466	151.0104825	20.31	27.97	7.54	11.3	21.82046557	95.6	8.51	116	48	64	64	418	114	521	540	13.3
SLPR13	Eastern-central Harbour	September	-33.85028333	151.2325167	17.64	35.24	8.01	1	1.512586047	102.3	9.65	11	11	4	18	104	19	105	65	0.3
SLPR14	Marine/Harbour Heads	September	-33.84012213	151.25656650	17.65	35.37	7.97	0.6	1.721616	101.4	9.4	25	10	4	19	134	19	139	51	0.7
